type,company,description,sku,diameter_in,weight_gr,sectional_density,name,product_name,bc_g1,bc_g7,bc_fn
rifle,Barnes,Barnes .204 26gr Varmint Grenade 30090,30090,0.204,26,0.089,,Varmint Grenade,0.131,,
rifle,Barnes,Barnes .204 32gr Varmin-a-tor 30092,30092,0.204,32,0.11,,Varmin-a-tor,0.159,,
rifle,Barnes,Barnes .224 50gr Varmin-a-tor 30178,30178,0.224,50,0.142,,Varmin-a-tor,0.192,,
rifle,Barnes,Barnes .224 40gr Varmin-a-tor 30168,30168,0.224,40,0.114,,Varmin-a-tor,0.153,,
rifle,Barnes,Barnes .224 50gr Varmint Grenade 30198,30198,0.224,50,0.142,,Varmint Grenade,0.183,,
rifle,Barnes,Barnes .224 36gr Varmint Grenade 30171,30171,0.224,36,0.102,,Varmint Grenade,0.149,,
rifle,Barnes,Barnes .224 30gr Varmint Grenade 30170,30170,0.224,30,0.085,,Varmint Grenade,0.101,,
rifle,Barnes,Barnes .224 55gr Tipped TSX Hunting 30187,30187,0.224,55,0.157,,Tipped TSX Hunting,0.272,,
rifle,Barnes,Barnes .224 62gr Tipped TSX Hunting 30188,30188,0.224,62,0.177,,Tipped TSX Hunting,0.294,,
rifle,Barnes,Barnes .224 50gr Tipped TSX Hunting 30185,30185,0.224,50,0.142,,Tipped TSX Hunting,0.229,,
rifle,Barnes,Barnes .224 85gr Match Burners 30164,30164,0.224,85,0.242,,Match Burners,0.41,,
rifle,Barnes,Barnes .224 69gr Match Burners 30162,30162,0.224,69,0.196,,Match Burners,0.339,,
rifle,Barnes,Barnes .224 52gr Match Burners 30160,30160,0.224,52,0.148,,Match Burners,0.224,,
rifle,Barnes,Barnes .224 55gr MPG LF Frangible 30195,30195,0.224,55,0.157,,MPG LF Frangible,0.225,,
rifle,Barnes,Barnes .224 45gr TSX Hunting 30176,30176,0.224,45,0.128,,TSX Hunting,0.188,,
rifle,Barnes,Barnes .224 53gr TSX Hunting 30180,30180,0.224,53,0.151,,TSX Hunting,0.204,,
rifle,Barnes,Barnes .224 70gr TSX Hunting 30193,30193,0.224,70,0.199,,TSX Hunting,0.314,,
rifle,Barnes,Barnes .224 62gr TSX Hunting 30190,30190,0.224,62,0.177,,TSX Hunting,0.287,,
rifle,Barnes,Barnes .224 55gr TSX Hunting 30182,30182,0.224,55,0.157,,TSX Hunting,0.209,,
rifle,Barnes,Barnes .224 50gr TSX Hunting 30174,30174,0.224,50,0.142,,TSX Hunting,0.197,,
rifle,Barnes,Barnes null 55gr TAC-X 30155,30155,0.224,55,0.157,,TAC-X,0.209,,
